Source identifier ,Source latitude (deg),Source longitude (deg),Vista ID,Source type ,IPCC sector,N overflights,Source Persistence (f),Confidence in persistence ,Qsource (kg/hr),sQ  (kg/hr),,
S00103,34.0016,-118.3693,FLD000199,oil/gas tank,1B2 Oil & Natural Gas,11,0.64,1.0,77.8,20.1,,
S00104,36.1638,-120.3952,FLD000090,oil/gas gathering line,1B2 Oil & Natural Gas,4,0.25,0.7,75.7,24.0,,
S00105,36.2090,-120.3931,FLD000090,oil/gas waste lagoon,1B2 Oil & Natural Gas,2,0.5,0.4,97.0,21.6,,
S00106,35.4460,-119.0150,FLD000208,oil/gas drill rig,1B2 Oil & Natural Gas,9,0.44,0.9,56.3,15.4,,
S00107,35.4708,-119.0394,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,9,0.11,0.9,45.8,10.9,,
S00110,35.4829,-119.0576,FLD000207,oil/gas pumpjack,1B2 Oil & Natural Gas,9,0.33,0.9,61.4,9.2,,
S00116,35.4990,-119.0721,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,12,0.58,1.0,168.6,32.9,,
S00117,35.5061,-119.0741,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,18,0.22,1.0,33.9,7.2,,
S00118,35.5075,-119.0742,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,21,0.24,1.0,41.5,9.3,,
S00119,35.4749,-119.4306,DAF000888,dairy/manure,3A2 Manure Management,8,0.25,0.9,98.4,21.4,,
S00120,35.2382,-119.5914,LNF000030,oil/gas gathering line,1B2 Oil & Natural Gas,6,0.17,0.8,43.9,16.9,,
S00121,35.3647,-119.6700,FLD000112,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.71,0.9,57.3,2.2,,
S00122,35.4805,-119.7431,NPP000003,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,37.0,18.4,,
S00123,35.5292,-119.7695,FLD000027,oil/gas gathering line,1B2 Oil & Natural Gas,3,0.33,0.6,45.4,11.2,,
S00124,35.2272,-119.5784,FLD000285,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,4,0.25,0.7,41.7,7.7,,
S00125,35.2480,-119.5808,LNF000030,oil/gas gathering line,1B2 Oil & Natural Gas,6,0.17,0.8,65.5,19.8,,
S00126,35.2536,-119.5865,LNF000030,oil/gas gathering line,1B2 Oil & Natural Gas,8,0.13,0.9,44.0,14.8,,
S00127,35.3419,-119.6461,FLD000112,oil/gas gathering line,1B2 Oil & Natural Gas,4,0.25,0.7,36.6,10.3,,
S00128,35.4296,-119.6902,FLD000028,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,45.3,13.4,,
S00129,35.1236,-119.4991,FLD000285,oil/gas tank,1B2 Oil & Natural Gas,3,0.33,0.6,28.8,7.5,,
S00130,35.1151,-119.4670,FLD000285,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.29,0.9,29.3,8.8,,
S00131,35.0412,-119.3841,FLD000285,oil/gas tank,1B2 Oil & Natural Gas,3,0.33,0.6,13.7,4.0,,
S00132,35.0271,-119.3329,FLD000285,oil/gas tank,1B2 Oil & Natural Gas,3,0.33,0.6,23.9,3.9,,
S00133,35.0615,-119.3909,FLD000285,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,6,0.17,0.8,10.9,4.4,,
S00135,35.0459,-119.3497,FLD000285,dairy/manure,3A2 Manure Management,3,0.33,0.6,24.3,5.3,,
S00136,35.1325,-119.4866,FLD000285,oil/gas pumpjack,1B2 Oil & Natural Gas,4,0.25,0.7,14.6,4.6,,
S00137,35.1309,-119.4865,LNF000028,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,5,0.2,0.8,9.4,2.7,,
S00141,33.7794,-118.2351,REF000025,refinery,1A1 Energy Industries,13,0.08,1.0,3.1,1.3,,
S00145,33.8162,-118.2357,REF000021,refinery,1A1 Energy Industries,14,0.14,1.0,31.4,9.0,,
S00149,35.2148,-119.2108,DAF000681,dairy/manure,3A2 Manure Management,13,0.38,1.0,100.2,32.0,,
S00150,35.2438,-119.1574,DAF000097,dairy/manure,3A2 Manure Management,15,0.13,1.0,29.2,9.3,,
S00151,35.2463,-119.1404,DAF000608,dairy/manure,3A2 Manure Management,8,0.38,0.9,41.8,11.6,,
S00152,35.9013,-119.3199,DAF000487,dairy/manure,3A2 Manure Management,2,0.5,0.4,96.1,25.4,,
S00153,34.9015,-117.1600,NA,gas compressor,1B2 Oil & Natural Gas,3,0.33,0.6,62.6,10.1,,
S00156,35.9593,-119.3722,DAF000531,dairy/manure,3A2 Manure Management,2,0.5,0.4,11.8,7.1,,
S00159,35.9727,-119.3590,DAF000735,dairy/manure,3A2 Manure Management,2,0.5,0.4,86.7,43.2,,
S00160,35.9873,-119.3264,DAF000435,dairy/manure,3A2 Manure Management,2,0.5,0.4,67.1,26.1,,
S00164,35.9739,-119.4391,DAF000821,dairy/manure,3A2 Manure Management,1,1,0.3,49.0,18.4,,
S00165,36.0153,-119.2233,DAF000491,dairy/manure,3A2 Manure Management,1,1,0.3,35.3,13.0,,
S00171,36.0289,-119.3250,DAF000499,dairy/manure,3A2 Manure Management,2,0.5,0.4,20.3,6.5,,
S00176,36.0216,-119.5195,DAF000678,dairy/manure,3A2 Manure Management,5,0.6,0.8,214.9,81.5,,
S00177,36.0324,-119.5103,DAF000678,dairy/manure - digester,3A2 Manure Management,16,0.63,1.0,144.4,50.2,,
S00178,36.0395,-119.3980,DAF000536,dairy/manure,3A2 Manure Management,15,0.07,1.0,2.7,0.9,,
S00181,36.0761,-119.1955,DAF000290,dairy/manure,3A2 Manure Management,1,1,0.3,46.4,26.4,,
S00183,36.0490,-119.4558,DAF000121,dairy/manure,3A2 Manure Management,8,0.13,0.9,14.5,3.7,,
S00186,36.0879,-119.2370,DAF000192,dairy/manure,3A2 Manure Management,2,0.5,0.4,47.8,23.2,,
S00191,36.1158,-119.3621,DAF000262,dairy/manure,3A2 Manure Management,8,0.25,0.9,16.2,4.9,,
S00192,36.1259,-119.3413,DAF000618,dairy/manure,3A2 Manure Management,11,0.09,1.0,6.4,2.6,,
S00193,36.1162,-119.3342,DAF000814,dairy/manure,3A2 Manure Management,11,0.18,1.0,16.7,5.4,,
S00194,36.1285,-119.4311,DAF000037,dairy/manure,3A2 Manure Management,4,0.25,0.7,22.3,4.1,,
S00195,36.1563,-119.2404,DAF000118,dairy/manure,3A2 Manure Management,8,0.13,0.9,12.2,3.6,,
S00196,36.1611,-119.2178,DAF000870,dairy/manure,3A2 Manure Management,1,1,0.3,66.4,10.0,,
S00198,37.1233,-120.3635,DAF000286,dairy/manure,3A2 Manure Management,1,1,0.3,59.7,20.4,,
S00199,37.1573,-120.3917,DAF000878,dairy/manure,3A2 Manure Management,2,0.5,0.4,411.1,140.1,,
S00200,37.2087,-120.4638,DAF000054,dairy/manure,3A2 Manure Management,2,0.5,0.4,156.1,49.9,,
S00201,37.1802,-120.4353,DAF000738,dairy/manure,3A2 Manure Management,2,0.5,0.4,53.9,31.9,,
S00203,36.0333,-119.4048,DAF000781,dairy/manure,3A2 Manure Management,16,0.06,1.0,10.5,1.8,,
S00204,36.0388,-119.3979,DAF000536,dairy/manure,3A2 Manure Management,15,0.27,1.0,63.3,23.0,,
S00205,36.0532,-119.3977,DAF000272,dairy/manure,3A2 Manure Management,12,0.17,1.0,9.4,2.9,,
S00206,36.2272,-119.1638,DAF000395,dairy/manure,3A2 Manure Management,8,0.13,0.9,14.9,5.5,,
S00207,36.1567,-119.2831,DAF000171,dairy/manure,3A2 Manure Management,11,0.18,1.0,44.6,13.4,,
S00208,36.2127,-119.1990,DAF000676,dairy/manure,3A2 Manure Management,7,0.43,0.9,47.6,12.5,,
S00209,36.0867,-119.3356,DAF000260,dairy/manure,3A2 Manure Management,9,0.11,0.9,13.4,1.1,,
S00210,36.1154,-119.2907,DAF000723,dairy/manure,3A2 Manure Management,7,0.29,0.9,23.1,5.7,,
S00211,36.1565,-119.2655,DAF000308,dairy/manure,3A2 Manure Management,10,0.2,0.9,64.6,18.8,,
S00212,36.2289,-119.1633,DAF000395,dairy/manure,3A2 Manure Management,8,0.25,0.9,13.9,2.8,,
S00213,36.2320,-119.1660,DAF000395,dairy/manure,3A2 Manure Management,11,0.18,1.0,13.8,2.4,,
S00216,36.2259,-119.1636,DAF000395,dairy/manure,3A2 Manure Management,7,0.14,0.9,10.0,4.8,,
S00217,36.2265,-119.1636,DAF000395,dairy/manure,3A2 Manure Management,7,0.14,0.9,18.2,6.7,,
S00218,36.1203,-119.3147,DAF000409,dairy/manure,3A2 Manure Management,11,0.09,1.0,5.4,0.9,,
S00219,36.1567,-119.2823,DAF000171,dairy/manure,3A2 Manure Management,9,0.33,0.9,54.8,14.0,,
S00220,36.1025,-119.3735,DAF000069,dairy/manure,3A2 Manure Management,10,0.4,0.9,177.9,54.1,,
S00221,36.1449,-119.2650,DAF000693,dairy/manure,3A2 Manure Management,7,0.14,0.9,12.2,1.5,,
S00222,36.1560,-119.2399,DAF000118,dairy/manure,3A2 Manure Management,8,0.25,0.9,41.8,7.4,,
S00223,36.2275,-119.1638,DAF000395,dairy/manure,3A2 Manure Management,8,0.13,0.9,44.7,12.3,,
S00225,36.1696,-119.2752,DAF000843,dairy/manure,3A2 Manure Management,9,0.11,0.9,10.9,4.1,,
S00226,36.1592,-119.2647,DAF000308,dairy/manure,3A2 Manure Management,13,0.08,1.0,13.1,1.2,,
S00228,36.2275,-119.1638,DAF000395,dairy/manure,3A2 Manure Management,8,0.13,0.9,12.2,2.0,,
S00229,36.0702,-119.3895,DAF000206,dairy/manure,3A2 Manure Management,13,0.08,1.0,14.5,5.6,,
S00231,36.0770,-119.3854,DAF000659,dairy/manure,3A2 Manure Management,12,0.17,1.0,81.0,46.3,,
S00232,36.2250,-119.1794,DAF000389,dairy/manure,3A2 Manure Management,7,0.14,0.9,13.8,2.4,,
S00233,36.2265,-119.1802,DAF000389,dairy/manure,3A2 Manure Management,7,0.14,0.9,15.1,3.4,,
S00238,36.3526,-119.4957,DAF000385,dairy/manure,3A2 Manure Management,3,0.33,0.6,46.8,8.9,,
S00240,36.3876,-119.3265,DAF000502,dairy/manure,3A2 Manure Management,1,1,0.3,265.6,62.9,,
S00244,36.3878,-119.4226,DAF000235,dairy/manure,3A2 Manure Management,1,1,0.3,228.5,33.4,,
S00251,36.4124,-119.3673,DAF000787,dairy/manure,3A2 Manure Management,10,0.5,0.9,125.2,31.6,,
S00252,36.3962,-119.5226,NA,dairy/manure,3A2 Manure Management,1,1,0.3,108.9,34.1,,
S00258,36.4545,-119.2816,DAF000199,dairy/manure,3A2 Manure Management,1,1,0.3,109.5,28.8,,
S00259,36.4531,-119.3990,DAF000377,dairy/manure,3A2 Manure Management,1,1,0.3,74.4,23.8,,
S00260,36.4719,-119.2706,DAF000212,dairy/manure,3A2 Manure Management,1,1,0.3,143.7,17.8,,
S00264,36.4719,-119.3431,DAF000263,dairy/manure,3A2 Manure Management,4,1,0.7,142.9,32.9,,
S00270,36.4361,-120.0102,DAF000411,dairy/manure,3A2 Manure Management,1,1,0.3,153.0,18.4,,
S00272,36.4827,-120.0742,DAF000759,dairy/manure,3A2 Manure Management,2,0.5,0.4,12.7,7.4,,
S00273,36.4367,-119.9875,DAF000519,dairy/manure,3A2 Manure Management,1,1,0.3,105.0,36.4,,
S00276,36.5830,-120.0550,NA,dairy/manure,3A2 Manure Management,2,0.5,0.4,31.1,11.8,,
S00277,36.5304,-119.9751,DAF000801,dairy/manure,3A2 Manure Management,2,0.5,0.4,22.2,16.7,,
S00278,37.2696,-120.3694,DAF000805,dairy/manure,3A2 Manure Management,1,1,0.3,93.8,21.2,,
S00280,37.2154,-120.4233,DAF000527,dairy/manure,3A2 Manure Management,1,1,0.3,158.5,72.9,,
S00281,37.2332,-120.4562,DAF000825,dairy/manure,3A2 Manure Management,1,1,0.3,103.7,20.5,,
S00284,37.1665,-120.3741,DAF000196,dairy/manure,3A2 Manure Management,1,1,0.3,169.1,20.6,,
S00286,35.4750,-119.4317,DAF000888,dairy/manure,3A2 Manure Management,21,0.1,1.0,22.5,4.4,,
S00290,36.0492,-119.4560,DAF000121,dairy/manure,3A2 Manure Management,8,0.25,0.9,20.5,4.4,,
S00291,36.7927,-120.2528,NSF000002,gas storage facility,1B2 Oil & Natural Gas,17,0.76,1.0,190.5,55.1,,
S00293,38.0207,-122.1156,REF000019,refinery,1A1 Energy Industries,7,0.14,0.9,9.8,4.3,,
S00295,34.0235,-118.0345,LNG000020,gas LNG station,1B2 Oil & Natural Gas,8,0.13,0.9,32.2,7.8,,
S00296,36.1824,-119.6593,NA,dairy/manure,3A2 Manure Management,9,0.11,0.9,14.3,2.6,,
S00299,35.3291,-119.6686,FLD000277,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,11,0.91,1.0,196.8,56.4,,
S00300,35.2749,-119.4775,FLD000140,gas processing plant,1B2 Oil & Natural Gas,19,0.32,1.0,198.7,53.8,,
S00301,35.2682,-119.4574,LNF000456,oil/gas gathering line,1B2 Oil & Natural Gas,8,0.13,0.9,65.3,9.4,,
S00302,35.2451,-119.3855,FLD000140,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.14,0.9,55.8,11.1,,
S00303,35.2828,-119.4968,FLD000140,oil/gas compressor,1B2 Oil & Natural Gas,18,0.06,1.0,13.2,2.0,,
S00304,35.4552,-119.0488,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,22,0.09,1.0,61.2,30.4,,
S00307,35.2806,-119.4784,FLD000140,oil/gas compressor,1B2 Oil & Natural Gas,18,0.28,1.0,22.2,7.5,,
S00312,33.9589,-117.6263,NA,dairy/manure,3A2 Manure Management,1,1,0.3,81.0,16.6,,
S00322,35.5117,-119.0745,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,13,0.46,1.0,80.5,21.7,,
S00323,35.5156,-119.0758,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,15,0.4,1.0,101.2,30.9,,
S00324,35.5183,-119.0782,FLD000344,oil/gas tank,1B2 Oil & Natural Gas,15,0.27,1.0,63.2,21.6,,
S00325,35.5340,-119.0832,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,18,0.28,1.0,134.7,41.9,,
S00326,35.4570,-119.0546,FLD000207,oil/gas tank,1B2 Oil & Natural Gas,22,0.18,1.0,54.0,16.5,,
S00327,35.4571,-119.0495,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,20,0.05,1.0,29.9,6.9,,
S00328,35.4554,-119.0498,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,22,0.05,1.0,13.4,5.5,,
S00329,35.5305,-119.0777,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,22,0.05,1.0,8.5,2.1,,
S00330,35.4562,-119.0528,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,22,0.05,1.0,36.4,10.3,,
S00332,35.4591,-119.0530,FLD000207,oil/gas pumpjack,1B2 Oil & Natural Gas,22,0.18,1.0,19.6,6.3,,
S00333,35.5304,-119.0800,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,20,0.05,1.0,13.8,6.1,,
S00337,33.8487,-118.3341,REF000006,refinery,1A1 Energy Industries,24,0.5,1.0,305.8,104.9,,
S00342,35.5972,-118.9673,FLD000300,oil/gas tank,1B2 Oil & Natural Gas,4,0.25,0.7,65.5,18.7,,
S00343,35.5971,-118.9671,FLD000300,oil/gas tank,1B2 Oil & Natural Gas,5,0.2,0.8,12.5,5.5,,
S00344,35.4903,-118.8861,FLD000380,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,4,0.25,0.7,57.8,9.9,,
S00345,35.4927,-118.8905,FLD000380,oil/gas pumpjack,1B2 Oil & Natural Gas,4,0.25,0.7,26.9,21.5,,
S00346,35.4924,-118.8971,FLD000380,oil/gas tank,1B2 Oil & Natural Gas,7,0.14,0.9,78.5,31.4,,
S00347,35.4947,-118.8966,FLD000380,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.14,0.9,14.5,7.1,,
S00349,35.5158,-119.0386,FLD000207,oil/gas tank,1B2 Oil & Natural Gas,8,0.38,0.9,93.6,37.0,,
S00350,35.5357,-119.0825,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,18,0.06,1.0,17.8,6.8,,
S00352,35.4733,-119.0578,FLD000207,oil/gas tank,1B2 Oil & Natural Gas,20,0.15,1.0,31.2,10.5,,
S00353,35.4627,-119.0507,LNF000335,oil/gas pumpjack,1B2 Oil & Natural Gas,13,0.15,1.0,22.5,6.5,,
S00355,35.3752,-119.0808,REF000003,refinery,1A1 Energy Industries,6,0.33,0.8,53.1,15.4,,
S00357,35.3717,-119.0769,REF000003,refinery,1A1 Energy Industries,6,0.17,0.8,27.6,5.4,,
S00358,33.9245,-117.9545,NA,wastewater treatment,4D2 Industrial Wastewater Treatment & Discharge,9,0.11,0.9,4.3,2.3,,
S00360,35.2816,-119.4808,FLD000140,oil/gas compressor,1B2 Oil & Natural Gas,18,0.28,1.0,33.7,16.7,,
S00363,34.4508,-118.5992,NSF000003,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,30,0.07,1.0,25.1,8.2,,
S00364,35.4974,-119.0703,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,11,0.18,1.0,30.0,6.2,,
S00365,35.5007,-119.0712,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,11,0.09,1.0,12.9,2.7,,
S00366,35.5022,-119.0714,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,11,0.18,1.0,42.9,8.7,,
S00367,35.5019,-119.0784,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,17,0.24,1.0,38.9,8.7,,
S00368,35.5037,-119.0824,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,17,0.12,1.0,10.3,2.7,,
S00369,35.5181,-119.0752,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,15,0.13,1.0,18.8,5.2,,
S00370,35.5224,-119.0737,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,13,0.08,1.0,12.0,2.4,,
S00371,35.5253,-119.0752,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,16,0.38,1.0,52.8,13.1,,
S00372,35.4971,-118.8979,FLD000380,oil/gas pumpjack,1B2 Oil & Natural Gas,7,0.14,0.9,28.2,5.1,,
S00373,35.5155,-119.0341,FLD000207,oil/gas pumpjack,1B2 Oil & Natural Gas,13,0.08,1.0,5.8,0.9,,
S00374,35.4661,-118.9747,FLD000208,oil/gas pumpjack,1B2 Oil & Natural Gas,14,0.07,1.0,10.3,0.7,,
S00375,35.4394,-118.9782,FLD000208,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.14,0.9,21.3,3.6,,
S00378,35.5402,-119.0922,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,11,0.09,1.0,18.4,6.1,,
S00379,35.5426,-119.0925,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,14,0.07,1.0,11.5,2.1,,
S00380,35.5449,-119.0917,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,12,0.08,1.0,8.2,2.1,,
S00382,35.5293,-119.0811,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,15,0.13,1.0,27.6,6.6,,
S00383,35.4804,-119.0818,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,25,0.12,1.0,10.0,3.6,,
S00384,35.5375,-119.0764,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,16,0.06,1.0,4.5,1.1,,
S00385,35.5111,-119.0783,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,22,0.14,1.0,17.8,4.0,,
S00387,35.5037,-119.0765,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,16,0.13,1.0,25.3,6.1,,
S00388,35.4790,-119.0625,FLD000207,oil/gas pumpjack,1B2 Oil & Natural Gas,16,0.06,1.0,8.6,1.8,,
S00389,35.5824,-119.7158,FLD000265,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,15.8,6.9,,
S00391,35.2604,-119.3923,FLD000140,oil/gas pumpjack,1B2 Oil & Natural Gas,11,0.09,1.0,23.1,6.8,,
S00392,35.5038,-119.0733,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,15,0.07,1.0,10.4,2.4,,
S00402,39.3484,-121.8205,NA,gas storage facility,1B2 Oil & Natural Gas,6,0.17,0.8,120.7,35.4,,
S00403,37.9954,-121.4780,NSF000010,gas storage facility,1B2 Oil & Natural Gas,17,0.12,1.0,11.2,4.1,,
S00500,34.3078,-118.5499,NSF000001,gas storage facility,1B2 Oil & Natural Gas,60,0.23,1.0,46.0,16.6,,
S00501,38.1598,-121.9058,NSF000004,gas storage facility,1B2 Oil & Natural Gas,4,0.25,0.7,25.0,4.5,,
S00502,37.9953,-121.4781,NSF000010,gas storage facility,1B2 Oil & Natural Gas,17,0.65,1.0,212.5,93.6,,
S00503,38.2016,-121.2130,DAF000514,gas storage facility,1B2 Oil & Natural Gas,5,0.4,0.8,32.2,12.9,,
S00504,35.2807,-119.4726,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,18,0.06,1.0,48.2,9.2,,
